working_df_idx,original_samplename,chunk_id,filepath,primary_label,secondary_labels,matches_primary,matches_secondary,top_class
0,1139490-CSA36385,0,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,flrtan1
0,1139490-CSA36385,1,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,cubthr
0,1139490-CSA36385,2,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,pelcor
0,1139490-CSA36385,3,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,blfbun1
0,1139490-CSA36385,4,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,cohmar1
0,1139490-CSA36385,5,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,pelcor
0,1139490-CSA36385,6,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,spocra1
0,1139490-CSA36385,7,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,pelcor
0,1139490-CSA36385,8,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,rossta2
0,1139490-CSA36385,9,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,[''],False,False,chrshe
1,1139490-CSA36389,0,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,uraowl1
1,1139490-CSA36389,1,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,grecor
1,1139490-CSA36389,2,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,comcha
1,1139490-CSA36389,3,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,grecor
1,1139490-CSA36389,4,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,pelcor
1,1139490-CSA36389,5,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,cubthr
1,1139490-CSA36389,6,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,pelcor
1,1139490-CSA36389,7,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,pelcor
1,1139490-CSA36389,8,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,pelcor
1,1139490-CSA36389,9,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,[''],False,False,chrshe
