,working_df_idx,original_samplename,chunk_id,filepath,primary_label,secondary_labels,matches_primary,matches_secondary,top_class
0,0,1139490-CSA36385,0,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,flrtan1
1,0,1139490-CSA36385,1,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,cubthr
2,0,1139490-CSA36385,2,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,pelcor
3,0,1139490-CSA36385,3,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,blfbun1
4,0,1139490-CSA36385,4,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,cohmar1
5,0,1139490-CSA36385,5,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,pelcor
6,0,1139490-CSA36385,6,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,spocra1
7,0,1139490-CSA36385,7,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,pelcor
8,0,1139490-CSA36385,8,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,rossta2
9,0,1139490-CSA36385,9,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36385.ogg,1139490,"[""''""]",False,False,chrshe
10,1,1139490-CSA36389,0,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,uraowl1
11,1,1139490-CSA36389,1,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,grecor
12,1,1139490-CSA36389,2,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,comcha
13,1,1139490-CSA36389,3,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,grecor
14,1,1139490-CSA36389,4,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,pelcor
15,1,1139490-CSA36389,5,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,cubthr
16,1,1139490-CSA36389,6,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,pelcor
17,1,1139490-CSA36389,7,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,pelcor
18,1,1139490-CSA36389,8,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,pelcor
19,1,1139490-CSA36389,9,/kaggle/input/birdclef-2025/train_audio/1139490/CSA36389.ogg,1139490,"[""''""]",False,False,chrshe
20,2,1192948-CSA36358,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,eupowl1
21,2,1192948-CSA36358,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,pelcor
22,2,1192948-CSA36358,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,comcha
23,2,1192948-CSA36358,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,blfbun1
24,2,1192948-CSA36358,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,pelcor
25,2,1192948-CSA36358,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,rossta2
26,2,1192948-CSA36358,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,grecor
27,2,1192948-CSA36358,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,pelcor
28,2,1192948-CSA36358,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,rossta2
29,2,1192948-CSA36358,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,cohmar1
30,2,1192948-CSA36358,10,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,whttyr2
31,2,1192948-CSA36358,11,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,"[""''""]",False,False,chrshe
32,3,1192948-CSA36366,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,tawowl1
33,3,1192948-CSA36366,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,pelcor
34,3,1192948-CSA36366,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,whrswi1
35,3,1192948-CSA36366,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,pelcor
36,3,1192948-CSA36366,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,rossta2
37,3,1192948-CSA36366,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,pelcor
38,3,1192948-CSA36366,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,grecor
39,3,1192948-CSA36366,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,pelcor
40,3,1192948-CSA36366,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,pelcor
41,3,1192948-CSA36366,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,rossta2
42,3,1192948-CSA36366,10,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,"[""''""]",False,False,chrshe
43,4,1192948-CSA36373,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,baleag
44,4,1192948-CSA36373,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,ruther1
45,4,1192948-CSA36373,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,bearee1
46,4,1192948-CSA36373,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,pelcor
47,4,1192948-CSA36373,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,soiwre1
48,4,1192948-CSA36373,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,cohmar1
49,4,1192948-CSA36373,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,cohmar1
50,4,1192948-CSA36373,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,grecor
51,4,1192948-CSA36373,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,pelcor
52,4,1192948-CSA36373,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,bkchum
53,4,1192948-CSA36373,10,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,"[""''""]",False,False,chrshe
54,5,1192948-CSA36388,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,tawowl1
55,5,1192948-CSA36388,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,rossta2
56,5,1192948-CSA36388,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,pelcor
57,5,1192948-CSA36388,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,siwgua1
58,5,1192948-CSA36388,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,whttyr2
59,5,1192948-CSA36388,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,pelcor
60,5,1192948-CSA36388,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,ruther1
61,5,1192948-CSA36388,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,vitpar1
62,5,1192948-CSA36388,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,pelcor
63,5,1192948-CSA36388,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,"[""''""]",False,False,chrshe
64,6,1194042-CSA18783,0,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,"[""''""]",False,False,casspa
65,6,1194042-CSA18783,1,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,"[""''""]",False,False,mafdov1
66,6,1194042-CSA18783,2,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,"[""''""]",False,False,gryfin2
67,6,1194042-CSA18783,3,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,"[""''""]",False,False,uplgoo1
68,7,1194042-CSA18794,0,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18794.ogg,1194042,"[""''""]",False,False,goltan1
69,7,1194042-CSA18794,1,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18794.ogg,1194042,"[""''""]",False,False,whtspa
70,8,1194042-CSA18802,0,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,"[""''""]",False,False,savwar1
71,8,1194042-CSA18802,1,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,"[""''""]",False,False,sedwre
72,8,1194042-CSA18802,2,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,"[""''""]",False,False,comrav
73,8,1194042-CSA18802,3,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,"[""''""]",False,False,tawgra2
74,8,1194042-CSA18802,4,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,"[""''""]",False,False,gresku1
75,9,126247-XC941297,0,/kaggle/input/birdclef-2025/train_audio/126247/XC941297.ogg,126247,"[""'65448'"", "" '22976'"", "" '476538'""]",False,False,stopar1
76,9,126247-XC941297,1,/kaggle/input/birdclef-2025/train_audio/126247/XC941297.ogg,126247,"[""'65448'"", "" '22976'"", "" '476538'""]",False,False,spocra1
77,10,126247-iNat1109254,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat1109254.ogg,126247,"[""''""]",False,False,stopar1
78,10,126247-iNat1109254,1,/kaggle/input/birdclef-2025/train_audio/126247/iNat1109254.ogg,126247,"[""''""]",False,False,spocra1
79,11,126247-iNat146584,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat146584.ogg,126247,"[""''""]",False,False,camfli1
