working_df_idx,samplename,chunk_id,filepath,primary_label,secondary_labels,matches_primary,matches_secondary,top_class
1083,amekes-XC565193-5,5,/kaggle/input/birdclef-2025/train_audio/amekes/XC565193.ogg,amekes,[''],True,False,amekes
1450,anhing-XC150213-0,0,/kaggle/input/birdclef-2025/train_audio/anhing/XC150213.ogg,anhing,[''],True,False,anhing
1450,anhing-XC150213-2,2,/kaggle/input/birdclef-2025/train_audio/anhing/XC150213.ogg,anhing,[''],True,False,anhing
1462,anhing-XC409523-0,0,/kaggle/input/birdclef-2025/train_audio/anhing/XC409523.ogg,anhing,[''],True,False,anhing
1477,anhing-XC566856-0,0,/kaggle/input/birdclef-2025/train_audio/anhing/XC566856.ogg,anhing,[''],True,False,anhing
1484,anhing-XC689446-0,0,/kaggle/input/birdclef-2025/train_audio/anhing/XC689446.ogg,anhing,[''],True,False,anhing
1491,anhing-XC705561-0,0,/kaggle/input/birdclef-2025/train_audio/anhing/XC705561.ogg,anhing,[''],True,False,anhing
1491,anhing-XC705561-1,1,/kaggle/input/birdclef-2025/train_audio/anhing/XC705561.ogg,anhing,[''],True,False,anhing
1713,bafibi1-XC709781-0,0,/kaggle/input/birdclef-2025/train_audio/bafibi1/XC709781.ogg,bafibi1,['saffin'],False,True,saffin
1732,banana-XC116489-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC116489.ogg,banana,[''],True,False,banana
1742,banana-XC127222-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC127222.ogg,banana,[''],True,False,banana
1751,banana-XC149227-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC149227.ogg,banana,[''],True,False,banana
1751,banana-XC149227-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC149227.ogg,banana,[''],True,False,banana
1751,banana-XC149227-4,4,/kaggle/input/birdclef-2025/train_audio/banana/XC149227.ogg,banana,[''],True,False,banana
1756,banana-XC155797-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC155797.ogg,banana,[''],True,False,banana
1756,banana-XC155797-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC155797.ogg,banana,[''],True,False,banana
1757,banana-XC155808-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC155808.ogg,banana,['paltan1'],True,False,banana
1757,banana-XC155808-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC155808.ogg,banana,['paltan1'],True,False,banana
1762,banana-XC171001-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC171001.ogg,banana,[''],True,False,banana
1762,banana-XC171001-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC171001.ogg,banana,[''],True,False,banana
1764,banana-XC173391-12,12,/kaggle/input/birdclef-2025/train_audio/banana/XC173391.ogg,banana,[''],True,False,banana
1764,banana-XC173391-14,14,/kaggle/input/birdclef-2025/train_audio/banana/XC173391.ogg,banana,[''],True,False,banana
1765,banana-XC173431-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC173431.ogg,banana,[''],True,False,banana
1765,banana-XC173431-6,6,/kaggle/input/birdclef-2025/train_audio/banana/XC173431.ogg,banana,[''],True,False,banana
1769,banana-XC178621-6,6,/kaggle/input/birdclef-2025/train_audio/banana/XC178621.ogg,banana,[''],True,False,banana
1771,banana-XC180504-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC180504.ogg,banana,[''],True,False,banana
1771,banana-XC180504-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC180504.ogg,banana,[''],True,False,banana
1774,banana-XC188527-5,5,/kaggle/input/birdclef-2025/train_audio/banana/XC188527.ogg,banana,[''],True,False,banana
1774,banana-XC188527-6,6,/kaggle/input/birdclef-2025/train_audio/banana/XC188527.ogg,banana,[''],True,False,banana
1785,banana-XC197514-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC197514.ogg,banana,[''],True,False,banana
1785,banana-XC197514-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC197514.ogg,banana,[''],True,False,banana
1788,banana-XC202020-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC202020.ogg,banana,[''],True,False,banana
1788,banana-XC202020-5,5,/kaggle/input/birdclef-2025/train_audio/banana/XC202020.ogg,banana,[''],True,False,banana
1795,banana-XC213287-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC213287.ogg,banana,[''],True,False,banana
1795,banana-XC213287-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC213287.ogg,banana,[''],True,False,banana
1798,banana-XC213995-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC213995.ogg,banana,[''],True,False,banana
1798,banana-XC213995-4,4,/kaggle/input/birdclef-2025/train_audio/banana/XC213995.ogg,banana,[''],True,False,banana
1798,banana-XC213995-5,5,/kaggle/input/birdclef-2025/train_audio/banana/XC213995.ogg,banana,[''],True,False,banana
1798,banana-XC213995-6,6,/kaggle/input/birdclef-2025/train_audio/banana/XC213995.ogg,banana,[''],True,False,banana
1803,banana-XC214520-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC214520.ogg,banana,[''],True,False,banana
1804,banana-XC214521-24,24,/kaggle/input/birdclef-2025/train_audio/banana/XC214521.ogg,banana,[''],True,False,banana
1809,banana-XC214711-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC214711.ogg,banana,[''],True,False,banana
1809,banana-XC214711-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC214711.ogg,banana,[''],True,False,banana
1818,banana-XC234129-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC234129.ogg,banana,[''],True,False,banana
1818,banana-XC234129-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC234129.ogg,banana,[''],True,False,banana
1821,banana-XC242441-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC242441.ogg,banana,[''],True,False,banana
1835,banana-XC259502-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC259502.ogg,banana,[''],True,False,banana
1842,banana-XC269287-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC269287.ogg,banana,[''],True,False,banana
1842,banana-XC269287-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC269287.ogg,banana,[''],True,False,banana
1848,banana-XC283825-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC283825.ogg,banana,[''],True,False,banana
1848,banana-XC283825-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC283825.ogg,banana,[''],True,False,banana
1848,banana-XC283825-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC283825.ogg,banana,[''],True,False,banana
1851,banana-XC287776-7,7,/kaggle/input/birdclef-2025/train_audio/banana/XC287776.ogg,banana,[''],True,False,banana
1867,banana-XC316989-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC316989.ogg,banana,[''],True,False,banana
1867,banana-XC316989-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC316989.ogg,banana,[''],True,False,banana
1867,banana-XC316989-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC316989.ogg,banana,[''],True,False,banana
1868,banana-XC316990-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC316990.ogg,banana,[''],True,False,banana
1868,banana-XC316990-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC316990.ogg,banana,[''],True,False,banana
1868,banana-XC316990-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC316990.ogg,banana,[''],True,False,banana
1868,banana-XC316990-5,5,/kaggle/input/birdclef-2025/train_audio/banana/XC316990.ogg,banana,[''],True,False,banana
1868,banana-XC316990-7,7,/kaggle/input/birdclef-2025/train_audio/banana/XC316990.ogg,banana,[''],True,False,banana
1868,banana-XC316990-10,10,/kaggle/input/birdclef-2025/train_audio/banana/XC316990.ogg,banana,[''],True,False,banana
1869,banana-XC316991-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC316991.ogg,banana,[''],True,False,banana
1869,banana-XC316991-4,4,/kaggle/input/birdclef-2025/train_audio/banana/XC316991.ogg,banana,[''],True,False,banana
1869,banana-XC316991-7,7,/kaggle/input/birdclef-2025/train_audio/banana/XC316991.ogg,banana,[''],True,False,banana
1869,banana-XC316991-9,9,/kaggle/input/birdclef-2025/train_audio/banana/XC316991.ogg,banana,[''],True,False,banana
1873,banana-XC32051-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC32051.ogg,banana,[''],True,False,banana
1873,banana-XC32051-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC32051.ogg,banana,[''],True,False,banana
1873,banana-XC32051-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC32051.ogg,banana,[''],True,False,banana
1873,banana-XC32051-7,7,/kaggle/input/birdclef-2025/train_audio/banana/XC32051.ogg,banana,[''],True,False,banana
1883,banana-XC33682-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC33682.ogg,banana,[''],True,False,banana
1888,banana-XC347839-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC347839.ogg,banana,[''],True,False,banana
1891,banana-XC352977-9,9,/kaggle/input/birdclef-2025/train_audio/banana/XC352977.ogg,banana,"['trokin', 'grekis']",True,False,banana
1910,banana-XC388560-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC388560.ogg,banana,[''],True,False,banana
1914,banana-XC397320-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC397320.ogg,banana,[''],True,False,banana
1929,banana-XC421240-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC421240.ogg,banana,[''],True,False,banana
1929,banana-XC421240-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC421240.ogg,banana,[''],True,False,banana
1929,banana-XC421240-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC421240.ogg,banana,[''],True,False,banana
1932,banana-XC428283-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC428283.ogg,banana,[''],True,False,banana
1936,banana-XC4311-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC4311.ogg,banana,[''],True,False,banana
1939,banana-XC437586-0,0,/kaggle/input/birdclef-2025/train_audio/banana/XC437586.ogg,banana,[''],True,False,banana
1939,banana-XC437586-1,1,/kaggle/input/birdclef-2025/train_audio/banana/XC437586.ogg,banana,[''],True,False,banana
1943,banana-XC450975-2,2,/kaggle/input/birdclef-2025/train_audio/banana/XC450975.ogg,banana,[''],True,False,banana
1946,banana-XC460314-4,4,/kaggle/input/birdclef-2025/train_audio/banana/XC460314.ogg,banana,[''],True,False,banana
1948,banana-XC462887-10,10,/kaggle/input/birdclef-2025/train_audio/banana/XC462887.ogg,banana,['bugtan'],True,False,banana
1960,banana-XC479540-3,3,/kaggle/input/birdclef-2025/train_audio/banana/XC479540.ogg,banana,[''],True,False,banana
